                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1302,                0.73035,                0.93923,                 1.3339,                0.83833,                 0.9115,                0.54947,                0.49183,                0.44924,                0.16745,                 2.0764,                 3.3686,                 1.0655,                 2.2116,                 2.4971,                  1.095,             0.00096215,             0.00096215,             0.00096215
                     35,                 1.0509,                0.68749,                0.93372,                 1.2856,                0.90515,                0.92166,                0.68151,                0.32995,                0.40979,                0.16304,                 2.0293,                 2.6574,                 1.0812,                 2.1065,                 2.4822,                 1.0921,             0.00096215,             0.00096215,             0.00096215
                     36,                 1.1378,                0.68054,                0.94742,                 1.3456,                0.87191,                0.92415,                0.51365,                0.29704,                0.28522,                0.11418,                 2.5386,                 3.1871,                 1.2724,                 2.4474,                 3.3427,                 1.1965,               0.000948,               0.000948,               0.000948
                     37,                 1.0585,                0.65065,                0.91882,                 1.2495,                 0.7748,                0.89244,                0.38169,                0.36926,                0.29819,                0.07629,                 2.6862,                 2.8474,                  1.482,                 2.5243,                 6.5134,                 1.2863,             0.00093385,             0.00093385,             0.00093385
                     38,                 1.1032,                0.73158,                0.95811,                 1.3402,                0.90021,                0.93208,                0.54175,                0.33333,                0.50851,                0.20789,                 2.3845,                 2.8011,                 1.2499,                 2.2384,                 10.539,                 1.1152,              0.0009197,              0.0009197,              0.0009197
                     39,                 1.0704,                0.66905,                0.98182,                 1.2401,                0.83687,                0.94367,                0.52054,                0.46192,                0.54713,                0.26716,                 2.0052,                  2.706,                 1.1468,                 2.0898,                 9.1068,                 1.2932,             0.00090556,             0.00090556,             0.00090556
                     40,                 1.0599,                0.63159,                 0.9468,                 1.3427,                 0.8855,                0.91851,                0.45985,                0.65079,                0.50672,                 0.2245,                 2.1592,                 5.0903,                 1.1081,                 2.2738,                 7.7516,                 1.2605,             0.00089141,             0.00089141,             0.00089141
                     41,                 1.0514,                0.64771,                0.93158,                 1.2758,                0.91033,                0.91416,                0.82118,                0.75844,                0.76254,                0.30997,                 2.1266,                  2.027,                 1.0852,                 2.3381,                 3.2443,                 1.0738,             0.00087726,             0.00087726,             0.00087726
                     42,                0.99684,                0.59437,                0.91865,                  1.246,                0.78004,                0.89907,                0.65667,                0.79384,                0.79275,                0.35792,                 1.9502,                 1.4138,                 1.0222,                 2.0954,                 1.4776,                 1.0094,             0.00086312,             0.00086312,             0.00086312
                     43,                 1.0412,                0.61476,                0.92595,                 1.2613,                0.85447,                0.89632,                 0.8842,                0.65587,                0.79553,                0.29403,                 1.9672,                 1.5323,                 1.0599,                 2.0799,                 1.5562,                 1.0274,             0.00084897,             0.00084897,             0.00084897
                     44,                0.97854,                0.55768,                0.90431,                 1.1725,                0.65901,                0.88172,                0.77938,                0.81604,                0.83395,                 0.3484,                 1.8624,                 1.3856,                0.99669,                 1.9873,                 1.8084,                0.97031,             0.00083482,             0.00083482,             0.00083482
                     45,                0.99245,                0.57787,                 0.9141,                 1.2233,                 0.6698,                0.89511,                0.81365,                0.79678,                0.85844,                0.38318,                 1.7439,                 1.4678,                0.96278,                 1.9044,                 1.7574,                0.96677,             0.00082067,             0.00082067,             0.00082067
                     46,                 1.0162,                0.61931,                0.91422,                 1.2628,                0.75547,                0.88797,                0.73666,                0.78879,                0.86137,                0.41874,                 1.5201,                 1.4292,                0.90387,                 1.7285,                 1.6511,                0.94193,             0.00080653,             0.00080653,             0.00080653
                     47,                 1.0517,                0.62697,                 0.9241,                 1.1913,                0.65941,                0.88782,                0.82193,                 0.8427,                0.87024,                0.41357,                 1.6399,                 1.2804,                0.94567,                 1.7413,                 1.1996,                0.96518,             0.00079238,             0.00079238,             0.00079238
